,geometry
370102,POINT (-46.75 -23.14999961853027)
370103,POINT (-46.64999389648438 -23.14999961853027)
370104,POINT (-46.54998779296875 -23.14999961853027)
370105,POINT (-46.44998168945312 -23.14999961853027)
370106,POINT (-46.35000610351562 -23.14999961853027)
370107,POINT (-46.25 -23.14999961853027)
371087,POINT (-48.35000610351562 -23.04999923706055)
371088,POINT (-48.25 -23.04999923706055)
371089,POINT (-48.14999389648438 -23.04999923706055)
371090,POINT (-48.04998779296875 -23.04999923706055)
371091,POINT (-47.94998168945312 -23.04999923706055)
371092,POINT (-47.85000610351562 -23.04999923706055)
371093,POINT (-47.75 -23.04999923706055)
371094,POINT (-47.64999389648438 -23.04999923706055)
371095,POINT (-47.54998779296875 -23.04999923706055)
371096,POINT (-47.44998168945312 -23.04999923706055)
371097,POINT (-47.35000610351562 -23.04999923706055)
371098,POINT (-47.25 -23.04999923706055)
371099,POINT (-47.14999389648438 -23.04999923706055)
371100,POINT (-47.04998779296875 -23.04999923706055)
371101,POINT (-46.94998168945312 -23.04999923706055)
371102,POINT (-46.85000610351562 -23.04999923706055)
371103,POINT (-46.75 -23.04999923706055)
371104,POINT (-46.64999389648438 -23.04999923706055)
371105,POINT (-46.54998779296875 -23.04999923706055)
371106,POINT (-46.44998168945312 -23.04999923706055)
371107,POINT (-46.35000610351562 -23.04999923706055)
371108,POINT (-46.25 -23.04999923706055)
372088,POINT (-48.35000610351562 -22.95000076293945)
372089,POINT (-48.25 -22.95000076293945)
372090,POINT (-48.14999389648438 -22.95000076293945)
372091,POINT (-48.04998779296875 -22.95000076293945)
372092,POINT (-47.94998168945312 -22.95000076293945)
372093,POINT (-47.85000610351562 -22.95000076293945)
372094,POINT (-47.75 -22.95000076293945)
372095,POINT (-47.64999389648438 -22.95000076293945)
372096,POINT (-47.54998779296875 -22.95000076293945)
372097,POINT (-47.44998168945312 -22.95000076293945)
372098,POINT (-47.35000610351562 -22.95000076293945)
372099,POINT (-47.25 -22.95000076293945)
372100,POINT (-47.14999389648438 -22.95000076293945)
372101,POINT (-47.04998779296875 -22.95000076293945)
372102,POINT (-46.94998168945312 -22.95000076293945)
372103,POINT (-46.85000610351562 -22.95000076293945)
372104,POINT (-46.75 -22.95000076293945)
372105,POINT (-46.64999389648438 -22.95000076293945)
372106,POINT (-46.54998779296875 -22.95000076293945)
372107,POINT (-46.44998168945312 -22.95000076293945)
372108,POINT (-46.35000610351562 -22.95000076293945)
372109,POINT (-46.25 -22.95000076293945)
372110,POINT (-46.14999389648438 -22.95000076293945)
372111,POINT (-46.04998779296875 -22.95000076293945)
373088,POINT (-48.44998168945312 -22.85000038146973)
373089,POINT (-48.35000610351562 -22.85000038146973)
373090,POINT (-48.25 -22.85000038146973)
